symbol,earnings_date,snapshot,snapshot_date,option_ticker,expiration,strike,type
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00410000,2026-03-20,410.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00410000,2026-03-20,410.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00415000,2026-03-20,415.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00415000,2026-03-20,415.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00420000,2026-03-20,420.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00420000,2026-03-20,420.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00425000,2026-03-20,425.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00425000,2026-03-20,425.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00430000,2026-03-20,430.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00430000,2026-03-20,430.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00435000,2026-03-20,435.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00435000,2026-03-20,435.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00440000,2026-03-20,440.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00440000,2026-03-20,440.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00445000,2026-03-20,445.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00445000,2026-03-20,445.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00450000,2026-03-20,450.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00450000,2026-03-20,450.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00455000,2026-03-20,455.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00455000,2026-03-20,455.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00460000,2026-03-20,460.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00460000,2026-03-20,460.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00465000,2026-03-20,465.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00465000,2026-03-20,465.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00470000,2026-03-20,470.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00470000,2026-03-20,470.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00475000,2026-03-20,475.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00475000,2026-03-20,475.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00480000,2026-03-20,480.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00480000,2026-03-20,480.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00485000,2026-03-20,485.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00485000,2026-03-20,485.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00490000,2026-03-20,490.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00490000,2026-03-20,490.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00495000,2026-03-20,495.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00495000,2026-03-20,495.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00500000,2026-03-20,500.0,call
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320P00500000,2026-03-20,500.0,put
MSFT,2026-01-28 16:00:00-05:00,pre,2026-01-27,O:MSFT260320C00505000,2026-03-20,505.0,call
