symbol,earnings_date,snapshot,snapshot_date,option_ticker,expiration,strike,type
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00270000,2026-03-20,270.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00270000,2026-03-20,270.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00280000,2026-03-20,280.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00280000,2026-03-20,280.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00290000,2026-03-20,290.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00290000,2026-03-20,290.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00300000,2026-03-20,300.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00300000,2026-03-20,300.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00310000,2026-03-20,310.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00310000,2026-03-20,310.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00320000,2026-03-20,320.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00320000,2026-03-20,320.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00330000,2026-03-20,330.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00330000,2026-03-20,330.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00340000,2026-03-20,340.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00340000,2026-03-20,340.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00350000,2026-03-20,350.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00350000,2026-03-20,350.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00360000,2026-03-20,360.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00360000,2026-03-20,360.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00370000,2026-03-20,370.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00370000,2026-03-20,370.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00380000,2026-03-20,380.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00380000,2026-03-20,380.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00390000,2026-03-20,390.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00390000,2026-03-20,390.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00400000,2026-03-20,400.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00400000,2026-03-20,400.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00410000,2026-03-20,410.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00410000,2026-03-20,410.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00420000,2026-03-20,420.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00420000,2026-03-20,420.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00430000,2026-03-20,430.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00430000,2026-03-20,430.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00440000,2026-03-20,440.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00440000,2026-03-20,440.0,put
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320C00450000,2026-03-20,450.0,call
AAPL,2026-01-29 16:00:00-05:00,post,2026-01-30,O:AAPL260320P00450000,2026-03-20,450.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00005000,2025-12-19,5.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00005000,2025-12-19,5.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00010000,2025-12-19,10.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00010000,2025-12-19,10.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00015000,2025-12-19,15.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00015000,2025-12-19,15.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00020000,2025-12-19,20.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00020000,2025-12-19,20.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00025000,2025-12-19,25.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00025000,2025-12-19,25.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00030000,2025-12-19,30.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00030000,2025-12-19,30.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00035000,2025-12-19,35.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00035000,2025-12-19,35.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00040000,2025-12-19,40.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00040000,2025-12-19,40.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00045000,2025-12-19,45.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00045000,2025-12-19,45.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00050000,2025-12-19,50.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00050000,2025-12-19,50.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00055000,2025-12-19,55.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00055000,2025-12-19,55.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00060000,2025-12-19,60.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00060000,2025-12-19,60.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00065000,2025-12-19,65.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00065000,2025-12-19,65.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00070000,2025-12-19,70.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00070000,2025-12-19,70.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00075000,2025-12-19,75.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00075000,2025-12-19,75.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00080000,2025-12-19,80.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00080000,2025-12-19,80.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00085000,2025-12-19,85.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00085000,2025-12-19,85.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00090000,2025-12-19,90.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00090000,2025-12-19,90.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00095000,2025-12-19,95.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00095000,2025-12-19,95.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00100000,2025-12-19,100.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00100000,2025-12-19,100.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219C00105000,2025-12-19,105.0,call
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251219P00105000,2025-12-19,105.0,put
AAPL,2025-10-30 16:00:00-04:00,pre,2025-10-29,O:AAPL251205C00110000,2025-12-05,110.0,call
