ticker,earn_date,type,strike,pre_date,post_date,price_pre,price_post,price_change,IV_pre,IV_post,IV_crush,RV30
AAL,2024-07-25,put,11.0,2024-07-24,2024-07-26,1.11,1.19,0.07999999999999985,4.849036631637899,,,0.2585002147090294
AAL,2024-10-24,call,12.5,2024-10-23,2024-10-25,1.0,0.83,-0.17000000000000004,3.834533266248284,3.1804392773772516,0.6540939888710322,0.31730673597819964
AAL,2024-10-24,put,12.5,2024-10-23,2024-10-25,0.39,1.17,0.7799999999999999,1.4979025558587122,4.496358549342468,-2.998455993483756,0.31730673597819964
AAL,2025-01-23,call,17.5,2025-01-22,2025-01-24,1.55,3.07,1.5199999999999998,4.247343217718713,,,0.14695790589863902
AAL,2025-01-23,put,17.5,2025-01-22,2025-01-24,0.54,3.89,3.35,1.48146981349004,,,0.14695790589863902
AAL,2025-04-24,call,10.5,2025-04-23,2025-04-25,0.14,0.2,0.06,0.6353084213895158,0.9090370669843477,-0.2737286455948319,0.2212937465479631
AAL,2025-04-24,put,10.5,2025-04-23,2025-04-25,1.21,2.8,1.5899999999999999,,,,0.2212937465479631
AAL,2025-07-24,call,12.0,2025-07-23,2025-07-25,1.19,0.07,-1.1199999999999999,4.75831355292203,0.2760819435411068,4.482231609380923,0.23127278205557703
AAL,2025-07-24,put,12.0,2025-07-23,2025-07-25,0.6,0.84,0.24,2.399472058067158,3.360068783963916,-0.960596725896758,0.23127278205557703
AAL,2025-10-23,call,12.0,2025-10-22,2025-10-24,2.73,1.42,-1.31,,,,0.2518992668488056
AAL,2025-10-23,put,12.0,2025-10-22,2025-10-24,0.63,1.09,0.4600000000000001,2.519451327061398,4.362962911697369,-1.8435115846359706,0.2518992668488056
AAPL,2022-01-27,call,152.5,2022-01-26,2022-01-28,11.25,29.71,18.46,3.534796255926098,,,0.18783050379372274
AAPL,2022-01-27,put,152.5,2022-01-26,2022-01-28,1.57,2.68,1.11,0.4963427598988376,0.8449939875390259,-0.3486512276401883,0.18783050379372274
AAPL,2022-04-28,call,150.0,2022-04-27,2022-04-29,27.0,11.7,-15.3,,3.73827707753569,,0.20131111670144475
AAPL,2022-04-28,put,150.0,2022-04-27,2022-04-29,11.72,3.85,-7.870000000000001,3.7512851950296002,1.2327279883865896,2.5185572066430106,0.20131111670144475
AAPL,2022-07-28,call,145.0,2022-07-27,2022-07-29,33.5,17.83,-15.670000000000002,,,,0.18618780800340107
AAPL,2022-07-28,put,145.0,2022-07-27,2022-07-29,0.4,0.47,0.06999999999999995,0.13537187559916738,0.15849618051480344,-0.02312430491563605,0.18618780800340107
AAPL,2022-10-27,call,145.0,2022-10-26,2022-10-28,16.1,10.75,-5.350000000000001,,3.5524696281097055,,0.1543511690209533
AAPL,2022-10-27,put,145.0,2022-10-26,2022-10-28,4.25,1.0,-3.25,1.4073369455504803,0.33356608493755646,1.0737708606129237,0.1543511690209533
AAPL,2023-02-02,call,140.0,2023-02-01,2023-02-03,32.82,22.7,-10.120000000000001,,,,0.16314190693770753
AAPL,2023-02-02,put,140.0,2023-02-01,2023-02-03,7.5,9.9,2.4000000000000004,2.5708785481412106,3.394411497748995,-0.8235329496077846,0.16314190693770753
AAPL,2023-05-04,call,160.0,2023-05-03,2023-05-05,34.4,14.7,-19.7,,4.406576861020418,,0.2256333392723201
AAPL,2023-05-04,put,160.0,2023-05-03,2023-05-05,16.57,1.59,-14.98,4.97716955721696,0.47921567833786444,4.497953878879096,0.2256333392723201
AAPL,2023-08-03,call,180.0,2023-08-02,2023-08-04,36.91,10.1,-26.809999999999995,,2.68622246100412,,0.23950956301858642
AAPL,2023-08-03,put,180.0,2023-08-02,2023-08-04,1.63,2.57,0.94,0.4369735611110203,0.6871083930980131,-0.25013483198699277,0.23950956301858642
AAPL,2023-11-02,call,165.0,2023-11-01,2023-11-03,33.69,20.8,-12.889999999999997,,,,0.26424699171872246
AAPL,2023-11-02,put,165.0,2023-11-01,2023-11-03,6.76,15.24,8.48,1.9662807181455721,4.436740241328821,-2.470459523183249,0.26424699171872246
AAPL,2024-02-01,call,180.0,2024-01-31,2024-02-02,8.1,7.19,-0.9099999999999993,2.153012660897813,1.910547095887481,0.24246556501033178,0.12654187416333174
AAPL,2024-02-01,put,180.0,2024-01-31,2024-02-02,3.22,1.75,-1.4700000000000002,0.8600895751256846,0.46890456977797046,0.39118500534771417,0.12654187416333174
