ticker,earn_date,pre_date,post_date,strike,IV_pre_call,IV_pre_put,IV_post_call,IV_post_put,IV_pre,IV_post,IV_crush,RV30
PGR,2023-08-01,2023-07-31,2023-08-02,125.0,1.1808037390132589,0.811759714844093,1.1463051698188058,4.573527927157614,0.9962817269286759,2.85991654848821,-1.8636348215595342,0.5231351453573347
PGR,2023-10-31,2023-10-30,2023-11-01,155.0,1.8513394488968042,2.2601708881029423,,1.8640943311217777,2.055755168499873,1.8640943311217777,0.19166083737809547,0.5263111393527826
PGR,2024-01-24,2024-01-23,2024-01-25,165.0,2.407440497221064,0.7260580874386702,,1.4229614902301537,1.5667492923298671,1.4229614902301537,0.14378780209971342,0.47250251412694355
PGR,2024-07-16,2024-07-15,2024-07-17,210.0,2.6214497251194757,1.0296659113714393,4.263406644422978,1.2304462103543217,1.8255578182454575,2.74692642738865,-0.9213686091431925,0.3374612696835166
PGR,2024-10-15,2024-10-14,2024-10-16,250.0,2.7385034886618005,1.2525340064781352,2.6808879466070046,1.0762077192149284,1.9955187475699678,1.8785478329109666,0.11697091465900122,0.261219224985784
PGR,2025-01-28,2025-01-27,2025-01-29,240.0,2.512876938472034,,1.673484848473032,0.12298330506297969,2.512876938472034,0.8982340767680058,1.6146428617040285,0.36016080981278437
PGR,2025-04-16,2025-04-15,2025-04-17,275.0,1.738857817468966,1.3445406355437488,0.8083335528545158,3.1940127261984697,1.5416992265063574,2.0011731395264927,-0.4594739130201353,0.41813436158292233
PGR,2025-07-16,2025-07-15,2025-07-17,250.0,,1.5151572329835046,0.2074307589129789,0.2944568212468466,1.5151572329835046,0.25094379007991274,1.2642134429035918,0.35731205138793487
PGR,2025-10-15,2025-10-14,2025-10-16,240.0,2.852952948486856,3.139766405692296,0.21621182780146161,2.1995585677672866,2.996359677089576,1.207885197784374,1.7884744793052019,0.2769643145087145
EOG,2022-02-24,2022-02-23,2022-02-25,110.0,,1.057043257491202,1.4425382326419098,1.7890099308139022,1.057043257491202,1.615774081727906,-0.558730824236704,0.2780832411225625
EOG,2022-05-05,2022-05-04,2022-05-06,120.0,4.155566519543057,2.8235127152369577,3.8385444646514983,0.035110815265283556,3.4895396173900073,1.936827639958391,1.5527119774316163,0.29727330636220667
EOG,2022-08-04,2022-08-03,2022-08-05,105.0,1.456646584646659,1.6914653782893192,4.518229333730298,1.7371231210412,1.574055981467989,3.127676227385749,-1.55362024591776,0.3146086733369608
EOG,2022-11-03,2022-11-02,2022-11-04,135.0,1.4160740738949653,,1.4941776150758033,0.7589602574065457,1.4160740738949653,1.1265689362411746,0.2895051376537907,0.24442999045264824
EOG,2023-02-23,2023-02-22,2023-02-24,122.0,1.0135663537562627,2.674871405398802,0.781890538513206,1.456102864448369,1.8442188795775323,1.1189967014807873,0.7252221780967449,0.3576385132817306
EOG,2023-05-04,2023-05-03,2023-05-05,116.0,0.6366848405389776,2.2009370691182815,2.103391905967392,0.8084229979893857,1.4188109548286296,1.4559074519783888,-0.037096497149759156,0.3346361661509895
