ticker,volume,open,close,high,low,window_start,transactions
O:VIX220615C00022000,1,4.79,4.79,4.79,4.79,1653883200000000000,1
O:VIX220615C00045000,100,0.35,0.35,0.35,0.35,1653883200000000000,2
O:VIX220615P00032500,3,6.3,6.3,6.3,6.3,1653883200000000000,2
O:VIX220615P00035000,10,8.6,8.6,8.6,8.6,1653883200000000000,2
O:VIX220720C00022000,1,6.49,6.49,6.49,6.49,1653883200000000000,1
O:VIXW220601C00026000,2,1.51,0.92,1.51,0.92,1653883200000000000,2
O:VIXW220608C00028000,2,1.2,1.2,1.2,1.2,1653883200000000000,1
O:VIXW220608C00035000,4,0.15,0.15,0.15,0.15,1653883200000000000,1
O:VIXW220622C00028000,2,2.1,2.1,2.1,2.1,1653883200000000000,1
O:VIXW220622C00030000,2,1.7,1.7,1.7,1.7,1653883200000000000,1
O:SPX220617C04100000,84,150,153,153,150,1653883200000000000,2
O:SPX220617C04180000,72,84.9,84.9,84.9,84.9,1653883200000000000,2
O:SPX220617C04200000,55,87.5,79.8,90.5,79.8,1653883200000000000,3
O:SPX220617C04250000,1,61.02,61.02,61.02,61.02,1653883200000000000,1
O:SPX220617C04300000,175,35.1,35,35.1,35,1653883200000000000,6
O:SPX220617C04340000,1,24.77,24.77,24.77,24.77,1653883200000000000,1
O:SPX220617C04350000,3,27.36,22.52,27.36,22.52,1653883200000000000,3
O:SPX220617C04400000,50,17,17,17,17,1653883200000000000,2
O:SPX220617C04450000,3,9.56,7.7,9.56,7.7,1653883200000000000,3
O:SPX220617C04500000,1,4.74,4.74,4.74,4.74,1653883200000000000,1
O:SPX220617C04600000,1,1.54,1.54,1.54,1.54,1653883200000000000,1
O:SPX220617C04700000,40,0.75,0.75,0.75,0.75,1653883200000000000,1
O:SPX220617P03665000,2,5.4,5.3,5.4,5.3,1653883200000000000,2
O:SPX220617P03800000,1,12.4,12.4,12.4,12.4,1653883200000000000,1
O:SPX220617P03900000,412,18.2,18.5,18.5,17.8,1653883200000000000,12
O:SPX220617P03925000,19,20.7,20.4,20.7,20.4,1653883200000000000,2
O:SPX220617P03975000,5,27.2,27.2,27.2,27.2,1653883200000000000,1
O:SPX220617P04000000,58,31.8,36.5,36.8,31.5,1653883200000000000,11
O:SPX220617P04025000,1,37.1,37.1,37.1,37.1,1653883200000000000,1
O:SPX220617P04100000,25,62.4,62.4,62.4,62.4,1653883200000000000,2
O:SPX220617P04200000,1,87.5,87.5,87.5,87.5,1653883200000000000,1
O:SPX220715C04130000,11,178.2,169.5,178.2,169.5,1653883200000000000,2
O:SPX220715C04150000,1,159.8,159.8,159.8,159.8,1653883200000000000,1
O:SPX220715C04300000,40,78.8,78.8,78.8,78.8,1653883200000000000,1
O:SPX220715C04310000,20,81.05,81.05,81.05,81.05,1653883200000000000,1
O:SPX220715P03190000,20,5.95,5.95,6,5.95,1653883200000000000,5
O:SPX220715P03250000,20,6.85,6.85,6.9,6.85,1653883200000000000,5
O:SPX220715P03450000,3,13.46,13.46,13.46,13.46,1653883200000000000,1
O:SPX220715P03525000,3,17.03,17.03,17.03,17.03,1653883200000000000,1
O:SPX220715P03575000,1,19.46,19.46,19.46,19.46,1653883200000000000,1
O:SPX220715P03650000,1,25.01,25.01,25.01,25.01,1653883200000000000,1
O:SPX220715P03900000,3,58.17,58.17,58.17,58.17,1653883200000000000,1
O:SPX220715P03925000,1,62.05,62.05,62.05,62.05,1653883200000000000,1
O:SPX220715P03975000,3,74.09,74.09,74.09,74.09,1653883200000000000,1
O:SPX220715P04000000,5,77.5,77.5,77.5,77.5,1653883200000000000,1
O:SPX220715P04025000,1,85.6,85.6,85.6,85.6,1653883200000000000,1
O:SPX220819P02700000,10,7.33,7.33,7.33,7.33,1653883200000000000,2
O:SPX220819P02775000,10,8.38,8.38,8.38,8.38,1653883200000000000,2
O:SPX220819P03200000,1,18.5,18.5,18.5,18.5,1653883200000000000,1
O:SPX220819P03800000,10,71.97,71.97,71.97,71.97,1653883200000000000,1
O:SPX220819P03900000,10,90.93,90.93,90.93,90.93,1653883200000000000,1
O:SPX220819P04200000,10,182.4,182.4,182.4,182.4,1653883200000000000,1
O:SPX220916C04000000,10,331.89,331.89,331.89,331.89,1653883200000000000,1
O:SPX220916C04400000,52,103.4,103.6,103.6,103.4,1653883200000000000,2
O:SPX220916C04500000,10,70.72,70.72,70.72,70.72,1653883200000000000,1
O:SPX220916C04550000,2,56.2,56.2,56.2,56.2,1653883200000000000,1
O:SPX220916P02750000,3,12.9,12.9,12.9,12.9,1653883200000000000,1
O:SPX220916P02900000,15,17,17,17,17,1653883200000000000,2
O:SPX220916P03600000,52,66.9,66.9,66.9,66.9,1653883200000000000,2
